,sr_,degree_1,degree_1_specializations,campus,key_skills
8721,9722,,Electronics  Telecommunication Engineering,"MIT,Pune","['EAGLE', ' MiCrosoftoffiCe', ' ProgrammingLanguageCCPP', ' SimulationSoftwareProteusMultisem', ' Goodorganizingskills', ' MATLAB', ' MySQL']"
8722,9723,,Electronics  Telecommunication Engineering,"MIT,Pune","['EAGLE', ' MiCrosoftoffiCe', ' ProgrammingLanguageCCPP', ' SimulationSoftwareProteusMultisem', ' Goodorganizingskills', ' MATLAB', ' MySQL']"
8723,9724,,Electronics  Telecommunication Engineering,MITCOE,"['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8724,9725,,Electronics  Telecommunication Engineering,MITAOE,"['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8725,9726,,Electronics  Telecommunication Engineering,"MIT,Pune","['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8726,9727,,Electronics  Telecommunication Engineering,"MIT,Pune","['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8727,9728,,Electronics  Telecommunication Engineering,"MIT,Pune","['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8728,9729,,Computer Science  Engineering,MITCOE,"['Java', ' JavasCript', ' CPP', ' Laravel Phpframework  ', ' HTML', ' Android', ' php', ' CSS']"
8729,9730,,Electronics  Telecommunication Engineering,MITAOE,"['AmazonWebServiCes', ' C CPP', ' Arduino', ' MongoDB', ' Linux', ' Golang', 'Microcontrollers', ' Gobot', ' InternetofThings', ' MATLAB', ' SQL', ' PHP']"
8730,9731,,Electronics  Telecommunication Engineering,MITCOE,"['AmazonWebServiCes', ' C CPP', ' Arduino', ' MongoDB', ' Linux', ' Golang', 'Microcontrollers', ' Gobot', ' InternetofThings', ' MATLAB', ' SQL', ' PHP']"
8731,9732,,Electronics  Telecommunication Engineering,"MIT,Pune","['AmazonWebServiCes', ' C CPP', ' Arduino', ' MongoDB', ' Linux', ' Golang', 'Microcontrollers', ' Gobot', ' InternetofThings', ' MATLAB', ' SQL', ' PHP']"
